업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명
일반음식점,닭장애웬오리청주본점,"충청북도 청주시 상당구 미원면 미원초정로 8-1, 1층",충청북도 청주시 상당구 미원면 미원리 570-19 1층 ,043 -295 -1252,한식
일반음식점,새마을,"충청북도 청주시 상당구 미원면 미원초정로 20, 1층 (부1)",충청북도 청주시 상당구 미원면 미원리 570-9 1층 ,043 -286 -4487,경양식
일반음식점,울엄마양평해장국,"충청북도 청주시 상당구 미원면 미원초정로 19, 1층",충청북도 청주시 상당구 미원면 미원리 571-19 ,043 -283 -1688,한식
일반음식점,아쥴(AZUL),"충청북도 청주시 상당구 미원면 미원초정로 19-1, 1층",충청북도 청주시 상당구 미원면 미원리 571-5 ,043 -296 -0416,기타
일반음식점,왕서방,충청북도 청주시 상당구 미원면 미원시내1길 12,충청북도 청주시 상당구 미원면 미원리 600-1 , 043- 284-2888,한식
일반음식점,꽃피는산골,충청북도 청주시 상당구 미원면 미원시내1길 12 (가동),충청북도 청주시 상당구 미원면 미원리 600-1 외 1필지 가동 , 043- 297-2970,한식
일반음식점,산동성,충청북도 청주시 상당구 미원면 단재로 2360,충청북도 청주시 상당구 미원면 미원리 653-1 ,043 -294 -5959,한식
일반음식점,뜨렌비,"충청북도 청주시 상당구 미원면 수목원길 41-9, 1층",충청북도 청주시 상당구 미원면 미원리 95-1 ,,기타
일반음식점,유성송어장,충청북도 청주시 상당구 미원면 성대2길 177-65,충청북도 청주시 상당구 미원면 성대리 573-3 , 043- 298-1250,일식
일반음식점,산내음가든,"충청북도 청주시 상당구 미원면 단재로 2562, 1층",충청북도 청주시 상당구 미원면 쌍이리 354-4 1층 ,,한식
일반음식점,신선휴게소,충청북도 청주시 상당구 미원면 어암2길 17-37,충청북도 청주시 상당구 미원면 어암리 13 , 043- 225-0431,한식
일반음식점,옥화대쏘가리,충청북도 청주시 상당구 미원면 옥화길 36,충청북도 청주시 상당구 미원면 옥화리 138-1 , 043- 254-7672,한식
일반음식점,다경,,충청북도 청주시 상당구 미원면 옥화리 210-13 ,043 -253 -5500,한식
일반음식점,천경식당,충청북도 청주시 상당구 미원면 옥화1길 27,충청북도 청주시 상당구 미원면 옥화리 268 , 043- 254-9202,한식
일반음식점,자매식당,"충청북도 청주시 상당구 미원면 운암계원로 263, 1층",충청북도 청주시 상당구 미원면 옥화리 93-4 1층 ,043 -255 -1506,한식
일반음식점,치킨카페,"충청북도 청주시 상당구 미원면 남부로 6703, 주2동 1층",충청북도 청주시 상당구 미원면 운암리 207-7 , 043- 284-1502,호프/통닭
일반음식점,솔내음,충청북도 청주시 상당구 미원면 남부로 6776,충청북도 청주시 상당구 미원면 운암리 230-1.2.3.6.11 ,043 -288 -5236,한식
일반음식점,장수마을,충청북도 청주시 상당구 미원면 남부로 6776,충청북도 청주시 상당구 미원면 운암리 230-1.2.3.6.11 ,,기타
일반음식점,삼다리식당,충청북도 청주시 상당구 미원면 남부로 6737,충청북도 청주시 상당구 미원면 운암리 234-2 ,043 -297 -0460,한식
일반음식점,휴양림휴게소식당,"충청북도 청주시 상당구 미원면 운암계원로 47, 1층",충청북도 청주시 상당구 미원면 운암리 364-4 ,043- 295-8845,한식
일반음식점,한우마을식당,충청북도 청주시 상당구 미원면 남부로 6623,충청북도 청주시 상당구 미원면 운암리 558-8 ,043 -298 -2123,한식
일반음식점,학천면옥,"충청북도 청주시 상당구 단재로 326-4, 1층 (방서동)",충청북도 청주시 상당구 방서동 0 ,043 -252 -3110,한식
일반음식점,삼진어묵당청주하나로점,"충청북도 청주시 상당구 무농정로 32, 농협청주농산물룰류센타 1층 (방서동)",충청북도 청주시 상당구 방서동 118 농협청주농산물룰류센타 ,043 -716 -0056,한식
일반음식점,서리서리멸치국수청주하나로본점직영점,"충청북도 청주시 상당구 무농정로 32, 농협청주농산물룰류센타 1층 (방서동)",충청북도 청주시 상당구 방서동 118 농협청주농산물룰류센타 ,,한식
일반음식점,스시히어로 청주하나로점,"충청북도 청주시 상당구 무농정로 32, 농협청주농산물물류센타 1층 (방서동)",충청북도 청주시 상당구 방서동 118 농협청주농산물룰류센타 ,,일식
일반음식점,수타에반한짬뽕,"충청북도 청주시 상당구 단재로 301, 1층 (방서동)",충청북도 청주시 상당구 방서동 204-1 1층 ,,한식
일반음식점,대머리해장국,"충청북도 청주시 상당구 단재로 297 (방서동, 1층)",충청북도 청주시 상당구 방서동 204-4 (1층) ,043 - 287-0066,한식
일반음식점,디파파,"충청북도 청주시 상당구 단재로 283-20, 1층 (방서동)",충청북도 청주시 상당구 방서동 210-6 1층 ,043 -211 -3387,경양식
일반음식점,바른치킨청주방서점,"충청북도 청주시 상당구 1순환로 1204-5, 방서지구M타워 1층 101호 (방서동)",충청북도 청주시 상당구 방서동 226-1 101호,,호프/통닭
일반음식점,연웅이네,"충청북도 청주시 상당구 1순환로 1202-1, 1층 (방서동)",충청북도 청주시 상당구 방서동 227-11 ,,식육(숯불구이)
일반음식점,꼬마밥풀,"충청북도 청주시 상당구 1순환로 1202-3, 1층 102호 (방서동)",충청북도 청주시 상당구 방서동 227-13 ,043 -283 -8233,분식
일반음식점,이차돌청주방서점,"충청북도 청주시 상당구 1순환로 1202-3, 1층 105호 (방서동)",충청북도 청주시 상당구 방서동 227-13 1층 105호,,한식
일반음식점,버팔로(BUFFALO),"충청북도 청주시 상당구 1순환로 1202-3, 서진빌딩 3층 304호 (방서동)",충청북도 청주시 상당구 방서동 227-13 304호,043 -293 -7845,호프/통닭
일반음식점,인생고깃집,"충청북도 청주시 상당구 단재로 316, 상가1동 1층 114호 (방서동, 청주센트럴자이)",충청북도 청주시 상당구 방서동 247-9 청주센트럴자이 상가1동 114호, 043- 715-9729,한식
일반음식점,설맥(방서점),"충청북도 청주시 상당구 단재로 316, 상가1동 115호 (방서동, 청주센트럴자이)",충청북도 청주시 상당구 방서동 247-9 청주센트럴자이 상가1동 115호,043 -287 -7829,경양식
일반음식점,김밥천국방서점,"충청북도 청주시 상당구 단재로 316, 상가1동 1층 118호 (방서동, 청주센트럴자이)",충청북도 청주시 상당구 방서동 247-9 청주센트럴자이 상가1동 118호,043 -286 -2400,분식
일반음식점,김밥스토리,"충청북도 청주시 상당구 동남로 20, 1층 111호 (방서동)",충청북도 청주시 상당구 방서동 25 ,043 -287 -3500,김밥(도시락)
일반음식점,피자마루방서지구점,"충청북도 청주시 상당구 단재로 312, 상가142동 1층 118호 (방서동, 방서중흥에스클래스)",충청북도 청주시 상당구 방서동 255-7 방서중흥에스클래스 상가142동 118호,043 -232 -3153,기타
일반음식점,닭장수후라이드,"충청북도 청주시 상당구 단재로 320-2, 1층 (방서동)",충청북도 청주시 상당구 방서동 271-15 ,,호프/통닭
